T,R_E,R_AT,R_P,G_E,G_AT,G_P,R_LL,G_LL
1/1/2013,0.6354687,26.684,0.06,12.7,22.55,0,281.86,280.39
2/1/2013,0.4095922,28.214,0,13.1,24.4,0,281.6,280.19
3/1/2013,0.5018783,30.321,0.45,11.5,31.85,0,281.34,279.96
4/1/2013,1.8967886,30.941,2.53,11.2,33.15,0,281.09,279.65
5/1/2013,11.1775112,30.767,8.7799997,9.6,32.6,0,281,279.4
6/1/2013,21.5267849,29.416,37.2099991,6.8,32.25,2.3,280.77,279.2
7/1/2013,54.8731041,27.146,119.9700012,0.2,31.4,112.4,280.96,279.08
8/1/2013,58.2425575,25.148,184.4100037,3.2,31,84.3,281.39,279.14
9/1/2013,50.4490776,27.022,53.1100006,5.3,30.15,7.1,281.64,279.53
10/1/2013,18.931818,27.38,3.6199999,8.1,30.2,0,281.89,280.05
11/1/2013,2.2483132,27.182,0.03,10.4,25.15,0,281.94,280.4
12/1/2013,0.8287835,25.551,0.03,11.8,22,0,281.83,280.4
1/1/2014,0.3821746,25.743,0.06,13.2,21.8,0,281.58,280.18
2/1/2014,0.3294056,26.967,0,13.7,22.65,0,281.37,279.97
3/1/2014,0.4513653,29.742,0.8,14.1,30.8,0,281.18,279.75
4/1/2014,3.8529356,30.788,3.8,14.3,33.05,0,280.96,279.53
5/1/2014,9.78339,30.392,22.8400002,13.2,32.55,0,280.83,279.3
6/1/2014,8.9213266,30.166,23.8099995,9.8,32.6,0,280.7,279.07
7/1/2014,36.3279114,27.751,115.2799988,4.1,32.25,88.6,280.87,278.95
8/1/2014,60.7026749,25.538,171.4900055,1.5,31.35,151.1,281.3,279.13
9/1/2014,44.3729782,26.551,55.1300011,4.2,31.05,10,281.64,279.6
10/1/2014,32.9319267,27.387,22.1200008,7.4,30,0,281.92,280.13
11/1/2014,3.7889967,26.941,0.01,11.1,25.65,0,281.95,280.49
12/1/2014,0.939263,25.54,0.03,12.3,21.6,0,281.88,280.49
1/1/2015,0.4416772,23.413,0.06,13.6,22.65,0,281.64,280.26
2/1/2015,0.3047802,28.082,0,14.1,25,0,281.41,280.04
3/1/2015,0.3155068,29.751,0.45,14.3,31.75,0,281.23,279.8
4/1/2015,0.6121036,29.471,1.87,12.7,32.55,0,280.97,279.53
5/1/2015,4.3448424,30.818,5.3499999,9.1,32.75,0,280.82,278.3
6/1/2015,21.6619434,29.86,43.0099983,5.8,31.75,27.3,280.66,279.09
7/1/2015,51.9500275,28.681,116.6500015,3.7,30.05,51.8,280.73,278.95
8/1/2015,49.7666397,27.493,188.0800018,2.8,30.15,136.2,281.11,278.94
9/1/2015,49.3552475,28.243,75.2799988,5.2,29.75,49.3,281.37,279.23
10/1/2015,24.5436134,28.805,22.3299999,9.3,30.05,0,281.66,279.65
11/1/2015,2.7993634,26.739,0.01,13.2,27.7,0,281.69,279.89
12/1/2015,0.9091722,22.894,0.03,13.9,21.7,0,281.62,279.92
1/1/2016,0.6397588,21.7209412,0.06,14.4,21.1,0,281.41,279.79
2/1/2016,0.4459389,24.4478394,0,14.8,20.75,0,281.18,279.63
3/1/2016,0.3930352,31.03927,0.45,15.2,31.05,0,281.1,279.45
4/1/2016,4.6109138,32.4052673,2.27,11.7,33.5,0,280.92,279.43
5/1/2016,18.8893242,32.8657471,19.6900005,7.2,33.5,3.2,280.75,279.73
6/1/2016,44.4923019,32.0186096,85.7600021,5.1,31.65,33.6,280.51,278.77
7/1/2016,75.0637589,29.8968445,158.2599945,3.2,31.1,64.1,280.74,278.64
8/1/2016,62.3459435,28.5742432,193.7400055,2.9,29.55,175.4,281.31,278.82
9/1/2016,54.8215866,30.3640381,59.8600006,3.8,29.2,17.4,281.69,279.5
10/1/2016,16.0149078,30.6157471,6.8099999,6.7,30.35,0,281.88,280.07
11/1/2016,2.3922529,27.8009583,0.01,7.8,28.55,0,281.9,280.3
12/1/2016,0.8542353,24.2643982,0.03,12.5,24.85,0,281.71,280.26
1/1/2017,0.4168414,24.1881958,0.06,14.2,24.25,0,281.45,280.04
2/1/2017,0.4603588,23.547113,0,15.8,24.75,0,281.27,279.83
3/1/2017,0.3235504,27.6820007,0.45,15.3,29.25,0,281.13,279.54
4/1/2017,1.7176626,31.0306641,4.48,14.7,33.05,0,280.99,279.38
5/1/2017,11.463275,32.0837646,11.3000002,6.7,32.45,0,280.77,279.18
6/1/2017,51.0809898,31.7256104,79.4000015,5.4,31.05,27,280.62,279
7/1/2017,64.2256851,30.93255,137.8399963,4.6,31.3,74.9,280.94,278.86
8/1/2017,56.6595154,29.7734619,160.7599945,3.2,31.15,86.5,281.14,278.98
9/1/2017,44.5720215,31.0246521,78.3899994,3.8,31.4,10,281.68,279.48
10/1/2017,10.8785944,30.6880127,3.9100001,7.4,30.5,0,282,280.08
11/1/2017,2.4092069,27.9656921,0.01,9.3,26.65,0,282.12,280.4
